Irms,Irms_voltage,P,Q,Ipeak,CF,max_di_dt
0.145,0.043724,17.22,26.58,0.526,3.618,3654.5
0.143,0.043166,15.59,25.95,0.599,4.178,4518.3
0.136,0.040875,13.38,24.17,0.531,3.911,3322.3
0.15,0.045142,7.7,30.7,0.606,4.037,4883.7
0.142,0.042611,16.14,25.6,0.565,3.991,3289
0.143,0.042948,14.9,25.82,0.674,4.724,3521.6
0.132,0.039748,15.71,24.24,0.538,4.07,3322.3
0.142,0.042637,17.16,25.54,0.563,3.978,7508.3
0.138,0.0414,15.12,24.49,0.518,3.767,3820.6
0.144,0.043467,16.28,26.18,0.568,3.933,3355.5
0.136,0.040902,16.58,25.04,0.525,3.866,3255.8
0.134,0.040444,14.27,24.75,0.524,3.901,4186
0.122,0.03674,10.44,22.18,0.51,4.181,5116.3
0.114,0.034423,10.37,21.84,0.48,4.199,3687.7
0.148,0.044632,17.1,26.45,0.506,3.416,5880.4
0.138,0.041514,15.48,24.47,0.562,4.073,3853.8
0.122,0.036618,12.08,22.74,0.644,5.293,3388.7
0.136,0.041082,16.68,23.82,0.572,4.187,3189.4
0.141,0.042347,15.08,25.45,0.559,3.977,5083.1
0.127,0.038259,13.54,23.26,0.51,4.009,3089.7
0.104,0.03139,11.51,19.27,0.45,4.319,4817.3
0.111,0.033528,10.47,20.78,0.501,4.502,4119.6
0.11,0.033238,12.53,20.04,0.553,5.007,5149.5
0.108,0.032489,11.28,19.78,0.488,4.521,2757.5
0.132,0.039677,11.32,24.18,0.518,3.927,4717.6
0.129,0.038825,4.16,27.1,0.618,4.79,6544.9
0.103,0.031094,9.54,19.66,0.45,4.358,3754.1
0.123,0.036958,12.87,21.32,0.618,5.029,5714.3
0.107,0.032139,11.29,20.4,0.494,4.628,2990
