Vrms_current,Vrms,Irms,P,S,PF
0.0579,225.4,0.179,6.332,40.26,0.157
0.0582,225.1,0.179,6.97,40.408,0.172
0.0545,221.5,0.168,8.491,37.236,0.228
0.0538,219.4,0.166,9.5,36.399,0.261
0.0529,227.9,0.163,6.356,37.235,0.171
0.0639,219.9,0.212,14.609,46.657,0.313
0.0579,223.4,0.179,10.21,39.939,0.256
0.0611,224.8,0.203,12.511,45.678,0.274
0.0645,220.6,0.214,14.001,47.234,0.296
0.0624,227.8,0.207,11.803,47.214,0.25
0.0587,225.6,0.181,8.625,40.884,0.211
0.057,221.6,0.176,9.799,38.952,0.252
0.0627,224.5,0.208,11.774,46.757,0.252
0.0574,226.7,0.177,8.858,40.167,0.221
0.0635,223.7,0.211,13.502,47.215,0.286
0.0638,223.5,0.212,11.165,47.382,0.236
0.0592,225.6,0.183,9.716,41.245,0.236
0.0594,223.1,0.183,12.523,40.878,0.306
0.058,222.8,0.179,12.06,39.865,0.303
0.0647,228.1,0.215,12.88,49.031,0.263
0.0567,222.8,0.175,9.452,38.956,0.243
0.0562,223.3,0.173,10.197,38.748,0.263
0.0528,231.8,0.163,8.154,37.802,0.216
0.0549,219.7,0.169,10.462,37.23,0.281
0.052,227,0.161,7.467,36.458,0.205
0.0558,221,0.172,9.282,38.087,0.244
0.0561,227.4,0.173,9.127,39.362,0.232
0.0567,221.8,0.175,8.153,38.834,0.21
0.0549,220.7,0.169,10.073,37.393,0.269
0.053,228,0.164,7.63,37.309,0.204
0.056,221.4,0.173,9.06,38.289,0.237
0.0538,225.8,0.166,8.169,37.472,0.218
0.0558,221.4,0.172,10.269,38.14,0.269
0.0568,220.9,0.175,9.781,38.743,0.252
0.052,229.7,0.161,7.735,36.878,0.21
0.0566,224.2,0.175,8.589,39.134,0.219
0.0538,223.7,0.166,8.419,37.177,0.226
0.0548,227.3,0.169,6.826,38.423,0.178
0.055,223.7,0.17,8.65,37.971,0.228
0.0565,234.5,0.174,7.976,40.921,0.195
0.0548,224.8,0.169,8.118,38.019,0.214
0.0606,228.2,0.187,8.584,42.678,0.201
0.0541,221.2,0.167,9.616,36.948,0.26
0.06,226,0.185,7.013,41.854,0.168
0.0546,226.9,0.169,8.196,38.264,0.214
0.0564,222.7,0.174,8.387,38.761,0.216
0.0546,243.2,0.168,8.182,40.965,0.2
0.0557,228.4,0.172,8.638,39.295,0.22
0.0573,221.1,0.177,9.714,39.084,0.249
0.0551,224.9,0.17,8.017,38.216,0.21
0.0589,224.7,0.182,13.726,40.874,0.336
0.0571,219.3,0.176,10.986,38.607,0.285
0.0561,225.5,0.173,7.548,39.022,0.193
0.0558,222,0.172,9.205,38.24,0.241
0.0557,222.5,0.172,9.091,38.261,0.238
0.0555,227.4,0.171,7.009,38.932,0.18
0.0593,224.2,0.183,10.904,41.044,0.266
0.0603,221.2,0.186,12.178,41.155,0.296
0.0552,225.8,0.17,8.972,38.471,0.233
0.0556,220.9,0.172,8.668,37.901,0.229
0.0539,227.4,0.166,7.14,37.85,0.189
0.0539,224.7,0.166,7.387,37.364,0.198
0.0552,219.8,0.17,8.939,37.467,0.239
0.0547,222.3,0.169,8.889,37.551,0.237
0.0552,227.5,0.17,6.527,38.721,0.169
0.0558,223.7,0.172,7.324,38.514,0.19
0.0558,222,0.172,8.314,38.271,0.217
0.0533,225.3,0.164,7.158,37.055,0.193
0.0559,223.2,0.173,8.304,38.518,0.216
0.055,234.5,0.17,6.013,39.829,0.151
0.0606,223.2,0.187,8.274,41.735,0.198
0.0544,225.9,0.168,6.61,37.95,0.174
0.0543,222.4,0.167,8.133,37.252,0.218
0.0527,226,0.163,7.256,36.753,0.197
0.0548,219.2,0.169,9.737,37.044,0.263
0.0603,222.2,0.186,10.861,41.348,0.263
0.0536,223.4,0.166,8.569,36.982,0.232
0.0644,227.1,0.214,4.122,48.607,0.085
0.0523,226,0.162,7.458,36.507,0.204
0.0529,223.8,0.163,8.058,36.521,0.221
0.0527,220.2,0.163,9.255,35.843,0.258
0.0535,225.5,0.165,6.862,37.241,0.184
0.0539,221,0.166,9.441,36.736,0.257
0.0544,225.3,0.168,6.563,37.812,0.174
0.0549,224.5,0.169,7.262,38.046,0.191
0.0542,219.9,0.167,8.653,36.764,0.235
0.0541,223,0.167,8.006,37.22,0.215
0.0541,225.7,0.167,6.905,37.713,0.183
0.054,221.8,0.167,8.991,36.956,0.243
0.0551,220,0.17,8.74,37.443,0.233
0.0523,225.8,0.161,7.052,36.467,0.193
0.0599,222.5,0.185,11.043,41.151,0.268
0.0561,220.3,0.173,9.8,38.175,0.257
0.0612,220,0.203,7.531,44.764,0.168
0.057,221.9,0.176,7.434,39.008,0.191
0.0523,226,0.162,7.279,36.507,0.199
0.0579,217.2,0.179,9.041,38.837,0.233
0.0559,225.1,0.173,7.114,38.872,0.183
0.0565,220.6,0.175,9.69,38.505,0.252
0.0579,220,0.179,10.3,39.298,0.262
0.0552,223.7,0.17,7.509,38.094,0.197
0.0566,222,0.175,8.35,38.795,0.215
0.061,219.8,0.188,11.557,41.369,0.279
0.0547,225.2,0.169,7.758,38.03,0.204
0.0563,228.3,0.174,7.835,39.664,0.198
0.059,218.4,0.182,8.611,39.786,0.216
0.058,223.2,0.179,9.502,39.993,0.238
0.0557,221.5,0.172,8.523,38.055,0.224
0.0551,220.6,0.17,8.024,37.516,0.214
0.0579,223.4,0.179,8.263,39.89,0.207
0.0558,224.3,0.172,7.216,38.632,0.187
0.0614,227.1,0.204,6.754,46.279,0.146
0.0607,222.5,0.187,8.457,41.692,0.203
0.0618,217,0.205,11.855,44.522,0.266
0.0601,223.5,0.186,8.757,41.492,0.211
