Vrms_current,Vrms,Irms,P,S,PF
0.0477,220.6,0.147,7.243,32.449,0.223
0.0507,217.6,0.157,7.269,34.072,0.213
0.0462,222.4,0.142,6.016,31.679,0.19
0.0503,223.7,0.155,6.476,34.726,0.186
0.0476,225.7,0.147,6.157,33.137,0.186
0.0542,217.3,0.167,6.611,36.343,0.182
0.0477,218.7,0.147,7.755,32.162,0.241
0.0492,217.7,0.152,6.854,33.047,0.207
0.0494,215.3,0.153,8.153,32.841,0.248
0.0503,214.5,0.155,8.604,33.293,0.258
0.0457,220,0.141,5.88,31.034,0.189
0.0491,219,0.152,6.131,33.22,0.185
0.046,219.6,0.142,7.013,31.201,0.225
0.0481,220.2,0.149,5.112,32.723,0.156
0.0475,221.9,0.147,6.967,32.56,0.214
0.0503,219.8,0.155,5.176,34.135,0.152
0.058,225.4,0.179,7.658,40.368,0.19
0.049,229.9,0.151,5.091,34.775,0.146
0.0503,221.1,0.155,7.175,34.31,0.209
0.0499,223.9,0.154,7.522,34.461,0.218
0.0477,223.9,0.147,5.726,32.982,0.174
0.0503,228.3,0.155,5.438,35.449,0.153
0.0485,219.2,0.15,5.97,32.817,0.182
0.0541,221.3,0.167,5.029,36.971,0.136
0.0502,213,0.155,8.567,33.012,0.26
0.0477,225.7,0.147,6.064,33.217,0.183
0.0521,214.1,0.161,7.071,34.45,0.205
0.0531,217.4,0.164,7.944,35.629,0.223
0.0545,214.8,0.168,5.511,36.154,0.152
0.0474,220.3,0.146,5.086,32.229,0.158
0.0513,220,0.158,8.02,34.812,0.23
0.0483,224.8,0.149,5.256,33.517,0.157
0.0488,216.6,0.151,6.793,32.618,0.208
0.0482,227,0.149,6.524,33.785,0.193
0.0566,227.2,0.175,2.902,39.7,0.073
0.05,222.9,0.154,8.828,34.385,0.257
0.0466,227,0.144,5.475,32.68,0.168
0.0502,223,0.155,9.329,34.55,0.27
0.0478,222.1,0.147,5.655,32.735,0.173
0.0494,214.4,0.152,8.335,32.66,0.255
0.051,229.2,0.157,6.519,36.07,0.181
0.0494,215.6,0.152,7.41,32.853,0.226
0.0498,218.6,0.154,5.406,33.584,0.161
0.0573,215.8,0.177,6.724,38.187,0.176
0.0498,226,0.154,6.442,34.705,0.186
0.0492,213.9,0.152,7.966,32.477,0.245
0.0497,222.9,0.154,6.196,34.222,0.181
0.052,214.3,0.16,8.188,34.375,0.238
0.0514,224.7,0.159,4.551,35.659,0.128
0.0516,232.8,0.159,3.433,37.094,0.093
0.0492,213.7,0.152,8.263,32.464,0.255
0.0507,223.4,0.157,6.266,34.961,0.179
0.0498,215,0.154,8.994,33.073,0.272
0.0495,233.1,0.153,5.946,35.598,0.167
0.0473,221.8,0.146,7.908,32.365,0.244
0.0519,225.3,0.16,8.576,36.076,0.238
0.0532,224.8,0.164,5.061,36.878,0.137
0.0529,208.7,0.163,7.508,34.054,0.22
0.048,219.9,0.148,5.363,32.604,0.164
0.0514,215.8,0.159,6.197,34.257,0.181
0.0564,215.5,0.174,5.235,37.546,0.139
0.0482,220.1,0.149,5.587,32.764,0.171
0.0495,219.3,0.153,6.509,33.468,0.194
0.0469,223.6,0.145,5.089,32.395,0.157
0.0521,214.3,0.161,7.426,34.452,0.216
0.0499,224.4,0.154,4.695,34.527,0.136
0.0483,230.3,0.149,6.115,34.305,0.178
0.0473,222.6,0.146,5.818,32.462,0.179
0.056,228.1,0.173,6.625,39.398,0.168
0.0497,220,0.153,4.771,33.726,0.141
0.0504,215.6,0.155,6.914,33.508,0.206
0.0549,217.2,0.169,5.86,36.784,0.159
0.0479,216.7,0.148,5.981,32.003,0.187
0.0524,211.5,0.162,8.036,34.218,0.235
0.0508,221.3,0.157,5.242,34.664,0.151
0.0512,212.3,0.158,7.509,33.572,0.224
0.0488,217.3,0.151,6.949,32.733,0.212
0.0515,215.3,0.159,7.892,34.196,0.231
0.0482,218.6,0.149,6.355,32.522,0.195
0.0499,212.2,0.154,7.638,32.665,0.234
0.0477,217.9,0.147,5.727,32.099,0.178
0.0488,219.2,0.151,5.474,33.041,0.166
0.0507,212.7,0.157,7.902,33.289,0.237
0.0465,221.2,0.144,5.357,31.759,0.169
0.0467,216,0.144,7.157,31.155,0.23
0.0508,221.8,0.157,4.27,34.797,0.123
0.0511,223.2,0.158,7.822,35.186,0.222
0.0512,215.3,0.158,6.912,34.048,0.203
0.0485,216,0.15,6.984,32.334,0.216
0.0504,218.7,0.156,5.719,34.038,0.168
0.0479,220.6,0.148,5.584,32.636,0.171
0.0499,219.8,0.154,7.356,33.856,0.217
0.0548,223.3,0.169,4.564,37.759,0.121
0.0509,216.6,0.157,7.397,34.014,0.217
0.0485,217,0.15,7.411,32.487,0.228
0.05,226.9,0.154,6.319,35.039,0.18
0.0482,224.2,0.149,8.03,33.325,0.241
0.051,217.3,0.157,8.836,34.185,0.258
0.048,226.2,0.148,6.054,33.493,0.181
0.0509,225.4,0.157,5.687,35.395,0.161
0.0517,218.4,0.159,9.355,34.84,0.269
0.0498,225.5,0.154,6.288,34.668,0.181
0.0485,214.8,0.15,7.842,32.148,0.244
0.0463,218.1,0.143,7.22,31.161,0.232
0.0505,217.4,0.156,6.938,33.874,0.205
0.0503,218.6,0.155,6.55,33.971,0.193
0.054,217.6,0.167,5.458,36.291,0.15
0.0497,228.4,0.153,5.659,35.053,0.161
0.0502,218.4,0.155,7.09,33.86,0.209
0.0484,223.5,0.149,5.545,33.369,0.166
0.0524,219.4,0.162,7.732,35.517,0.218
0.0491,225.7,0.151,5.968,34.18,0.175
0.053,219.4,0.164,8.007,35.904,0.223
0.0483,219.6,0.149,5.505,32.766,0.168
0.0516,213.8,0.159,8.133,34.04,0.239
0.0506,218,0.156,5.719,34.019,0.168
0.0473,216.2,0.146,7.324,31.58,0.232
0.0558,214.1,0.172,6.222,36.884,0.169
0.0495,218.7,0.153,5.932,33.413,0.178
0.0478,223.6,0.148,3.997,33.019,0.121
0.0511,211.7,0.158,8.561,33.405,0.256
0.0501,217.3,0.155,6.059,33.612,0.18
0.0466,219.4,0.144,5.811,31.557,0.184
0.0462,220.4,0.143,4.604,31.412,0.147
0.0481,219.4,0.148,5.395,32.533,0.166
0.0504,212.6,0.155,8.033,33.05,0.243
0.0498,209.4,0.154,8.681,32.223,0.269
0.0478,218.1,0.148,5.458,32.184,0.17
0.0496,219.3,0.153,4.638,33.583,0.138
0.0526,212.5,0.162,7.14,34.514,0.207
